v1	GLUT2	GLUT2 glucose transporter (facilitated diffusion)	glc_ext <-> glc	n	pm
v2	GK	Glucokinase, hexokinase IV	glc + atp -> glc6p + adp 	Y	cyto
v3	G6P	Glucose-6-phosphatase	glc6p + h2o -> glc + p	Y	cyto
v4	GPI	Glucose-6-phosphate isomerase	glc6p <-> fru6p	n	cyto
v5	PFK2	Phosphofructo kinase 2	fru6p + atp -> fru26bp + adp	Y	cyto
v6	FBP2	Fructose-2,6-bisphosphatase	fru26bp + h2o -> fru6p + p	Y	cyto
v7	PFK1	Phosphofructo kinase 1	fru6p + atp -> fru16bp + adp	Y	cyto
v8	FBP1	Fructose-1,6-bisphosphatase	fru16bp + h2o -> fru6p + p	Y	cyto
v9	ALD	Aldolase	fru16bp <-> grap + dhap	n	cyto
v10	TPI	Triosephosphate isomerase	dhap <-> grap	n	cyto
v11	G6PD	Glucose-6-phosphate dehydrogenase	glc6p + nadp -> pgl6 + nadph + h	Y	cyto
v12	PGLS	6-phosphogluconolactonase	pgl6 + h2o -> pg6	Y	cyto
v13	PGD	6-phosphogluconate dehydrogenase, decarboxylating	pg6 + nadp -> ru5p + co2 + nadph + h	Y	cyto
v14	RPE	Ribulose-phosphate 3-epimerase	ru5p <-> x5p	n	cyto
v15	RPIA	Ribose-5-phosphate isomerase	r5p <-> ru5p	n	cyto
v16	TALDO	Transaldolase	s7p + grap <-> e4p + fru6p	n	cyto
v17	TKT1	Transketolase 1	s7p + grap <-> r5p + x5p	n	cyto
v18	TKT2	Transketolase 2	fru6p + grap <-> e4p + x5p	n	cyto
v19	R5PU	Ribose-5P utilization	r5p <-> 	n	cyto
v20	NADPHU	NADPH utilization	nadph + h -> nadp	Y	cyto
v21	GRAPU	Glyceraldehyd 3-phosphate utilization	grap <-> 	n	cyto
v22	PRPPS	PRPP synthase	atp + r5p -> amp + prpp	Y	cyto
v23	PRPPU	PRPP utilization	prpp ->	Y	cyto
v24	PGLS2	PGL6 hydrolysis (spontaneous)	pgl6 + h2o -> pg6	Y	cyto
