!!SBtab Level="1" Version "0.1" Document="Koenig2014_Hepatic_Glucose_Model_annotated" TableType="Reaction" TableName="Reaction"
!Reaction	!Name	!SumFormula	!Location	!Modifier	!KineticLaw	!SBOTerm	!IsReversible
GLUT2	GLUT2 glucose transporter	glc_ext <=> glc	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
GK	Glucokinase	glc + atp <=> glc6p + adp	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	False
G6PASE	D-Glucose-6-phosphate Phosphatase	glc6p + h2o <=> glc + phos	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	False
GPI	D-Glucose-6-phosphate Isomerase	glc6p <=> fru6p	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
G16PI	Glucose 1-phosphate 1,6-phosphomutase	glc1p <=> glc6p	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
UPGASE	UTP:Glucose-1-phosphate uridylyltransferase	utp + glc1p <=> udpglc + pp	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
PPASE	Pyrophosphate phosphohydrolase	pp + h2o <=> 2 phos	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	False
GS	Glycogen synthase	udpglc <=> udp + glyglc	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	False
GP	Glycogen-Phosphorylase	glyglc + phos <=> glc1p	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
NDKGTP	Nucleoside-diphosphate kinase (ATP, GTP)	atp + gdp <=> adp + gtp	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
NDKUTP	Nucleoside-diphosphate kinase (ATP, UTP)	atp + udp <=> adp + utp	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
AK	ATP:AMP phosphotransferase (Adenylatkinase)	atp + amp <=> 2 adp	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	True
PFK2	ATP:D-fructose-6-phosphate 2-phosphotransferase	fru6p + atp <=> fru26bp + adp	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	False
FBP2	D-Fructose-2,6-bisphosphate 2-phosphohydrolase	fru26bp <=> fru6p + phos	No compartment given in SBML		No kinetic law given in SBML	No SBOterm set in SBML.	False
PFK1	ATP:D-fructose-6-phosphate 1-phosphotransferase	fru6p + atp <=> fru16bp + adp	No compartment given in SBML	fru26bp	No kinetic law given in SBML	No SBOterm set in SBML.	False
FBP1	D-Fructose-1,6-bisphosphate 1-phosphohydrolase	fru16bp + h2o <=> fru6p + phos	No compartment given in SBML	fru26bp	No kinetic law given in SBML	No SBOterm set in SBML.	False
